architecture,condition,snr_db,baseline_accuracy,baseline_macro_precision,baseline_macro_recall,baseline_macro_f1,baseline_accuracy_drop,baseline_macro_f1_drop,augmented_accuracy,augmented_macro_precision,augmented_macro_recall,augmented_macro_f1,augmented_accuracy_drop,augmented_macro_f1_drop,accuracy_delta,accuracy_delta_percentage_points,macro_precision_delta,macro_precision_delta_percentage_points,macro_recall_delta,macro_recall_delta_percentage_points,macro_f1_delta,macro_f1_delta_percentage_points,accuracy_drop_delta,accuracy_drop_delta_percentage_points,macro_f1_drop_delta,macro_f1_drop_delta_percentage_points
cnn,clean,,0.7120669056152927,0.7738580174477829,0.7328151211885665,0.7323209768431472,0.0,0.0,0.7287933094384708,0.779753653976109,0.7485550044753796,0.7469456014463399,0.0,0.0,0.016726403823178027,1.6726403823178027,0.0058956365283260315,0.5895636528326031,0.015739883286813083,1.5739883286813083,0.014624624603192693,1.4624624603192693,0.0,0.0,0.0,0.0
cnn,snr_20db,20.0,0.6702508960573477,0.7721087493524147,0.6367608395458668,0.6623759392871821,0.041816009557945,0.0699450375559651,0.7168458781362007,0.7714469966974521,0.7300287042598547,0.7270239361183595,0.01194743130227,0.0199216653279804,0.04659498207885304,4.659498207885305,-0.0006617526549625996,-0.06617526549625996,0.09326786471398785,9.326786471398785,0.06464799683117739,6.4647996831177394,-0.029868578255674995,-2.9868578255674993,-0.0500233722279847,-5.00233722279847
cnn,snr_10db,10.0,0.6057347670250897,0.7408115904289132,0.5687815955905734,0.5856944176633595,0.106332138590203,0.1466265591797877,0.6989247311827957,0.7756772481232717,0.706475653346524,0.7071263117204925,0.029868578255675,0.0398192897258474,0.09318996415770608,9.31899641577061,0.034865657694358454,3.4865657694358454,0.13769405775595056,13.769405775595056,0.12143189405713295,12.143189405713295,-0.076463560334528,-7.6463560334528005,-0.10680726945394031,-10.680726945394031
cnn,snr_0db,0.0,0.4504181600955794,0.6189936384091261,0.416773051148877,0.4229666531664954,0.2616487455197133,0.3093543236766518,0.5495818399044206,0.6356398578618333,0.5498164534972735,0.5481445841902582,0.1792114695340502,0.1988010172560816,0.09916367980884117,9.916367980884116,0.016646219452707167,1.6646219452707167,0.13304340234839646,13.304340234839646,0.12517793102376285,12.517793102376285,-0.08243727598566308,-8.24372759856631,-0.11055330642057018,-11.055330642057019
crnn,clean,,0.7837514934289128,0.8231411174833072,0.801366545360327,0.803725365198108,0.0,0.0,0.7419354838709677,0.7701376503482285,0.7671508762322017,0.7573741197767603,0.0,0.0,-0.041816009557945066,-4.181600955794506,-0.05300346713507875,-5.300346713507875,-0.03421566912812535,-3.4215669128125348,-0.04635124542134772,-4.635124542134772,0.0,0.0,0.0,0.0
crnn,snr_20db,20.0,0.7491039426523297,0.805555997128524,0.7526868721219188,0.7632353024588809,0.0346475507765831,0.040490062739227,0.7491039426523297,0.7794058215100389,0.7749643603740476,0.7633763538179335,-0.0071684587813619,-0.0060022340411731,0.0,0.0,-0.026150175618485094,-2.6150175618485094,0.02227748825212883,2.227748825212883,0.0001410513590525131,0.01410513590525131,-0.041816009557945004,-4.1816009557945,-0.0464922967804001,-4.64922967804001
crnn,snr_10db,10.0,0.7084826762246117,0.7669477225100062,0.7023389143082593,0.7133682848683024,0.0752688172043011,0.0903570803298056,0.7383512544802867,0.7715190399622489,0.7671417841453791,0.753461253042063,0.003584229390681,0.0039128667346972,0.029868578255675016,2.9868578255675016,0.004571317452242707,0.4571317452242707,0.0648028698371198,6.480286983711981,0.040092968173760624,4.009296817376063,-0.07168458781362011,-7.168458781362011,-0.0864442135951084,-8.64442135951084
crnn,snr_0db,0.0,0.4994026284348865,0.5788362244060843,0.490635157933788,0.4952174173403567,0.2843488649940263,0.3085079478577512,0.6140979689366786,0.6472242603789891,0.649581557903167,0.6186322488302588,0.1278375149342892,0.1387418709465014,0.11469534050179209,11.46953405017921,0.06838803597290477,6.838803597290477,0.15894639996937898,15.894639996937897,0.12341483148990212,12.341483148990212,-0.1565113500597371,-15.65113500597371,-0.1697660769112498,-16.976607691124983
resnet18,clean,,0.7395459976105138,0.7892330861330521,0.7585505762051138,0.761740524803286,0.0,0.0,0.7574671445639187,0.7839942503481869,0.7766012422122508,0.7780788402119534,0.0,0.0,0.017921146953404965,1.7921146953404965,-0.00523883578486517,-0.523883578486517,0.018050666007137006,1.8050666007137006,0.01633831540866737,1.633831540866737,0.0,0.0,0.0,0.0
resnet18,snr_20db,20.0,0.6977299880525687,0.7834522497728964,0.6797197455511195,0.7050156541450482,0.041816009557945,0.0567248706582378,0.7574671445639187,0.7816545116531255,0.778468392632112,0.7783236402131047,0.0,-0.0002448000011513,0.05973715651135003,5.973715651135003,-0.0017977381197709086,-0.17977381197709086,0.09874864708099251,9.87486470809925,0.07330798606805655,7.330798606805655,-0.041816009557945,-4.1816009557945,-0.0569696706593891,-5.69696706593891
