experiment_id,architecture,training_condition,condition,snr_db,accuracy,macro_precision,macro_recall,macro_f1,num_samples,accuracy_drop,macro_f1_drop,accuracy_retention,macro_f1_retention,accuracy_rank_within_condition,macro_f1_rank_within_condition
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,0.7287933094384708,0.779753653976109,0.7485550044753796,0.7469456014463399,837.0,0.0,0.0,1.0,1.0,5.0,5.0
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,0.7168458781362007,0.7714469966974521,0.7300287042598547,0.7270239361183595,837.0,0.01194743130227,0.0199216653279804,0.9836065573770492,0.9733291617362692,4.0,4.0
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,0.6989247311827957,0.7756772481232717,0.706475653346524,0.7071263117204925,837.0,0.029868578255675,0.0398192897258474,0.959016393442623,0.9466905091230956,4.0,4.0
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,0.5495818399044206,0.6356398578618333,0.5498164534972735,0.5481445841902582,837.0,0.1792114695340502,0.1988010172560816,0.7540983606557377,0.7338480648776357,3.0,3.0
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,0.7120669056152927,0.7738580174477829,0.7328151211885665,0.7323209768431472,837.0,0.0,0.0,1.0,1.0,6.0,6.0
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,0.6702508960573477,0.7721087493524147,0.6367608395458668,0.6623759392871821,837.0,0.041816009557945,0.0699450375559651,0.9412751677852348,0.9044885511029866,6.0,6.0
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_10db,10.0,0.6057347670250897,0.7408115904289132,0.5687815955905734,0.5856944176633595,837.0,0.106332138590203,0.1466265591797877,0.8506711409395974,0.7997782887336394,5.0,5.0
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_0db,0.0,0.4504181600955794,0.6189936384091261,0.416773051148877,0.4229666531664954,837.0,0.2616487455197133,0.3093543236766518,0.6325503355704698,0.5775700362835419,5.0,6.0
crnn_augmented_run01_20260823t180807z,crnn,augmented,clean,,0.7419354838709677,0.7701376503482285,0.7671508762322017,0.7573741197767603,837.0,0.0,0.0,1.0,1.0,3.0,4.0
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_20db,20.0,0.7491039426523297,0.7794058215100389,0.7749643603740476,0.7633763538179335,837.0,-0.0071684587813619,-0.0060022340411731,1.0096618357487923,1.0079250582828765,2.0,2.0
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_10db,10.0,0.7383512544802867,0.7715190399622489,0.7671417841453791,0.753461253042063,837.0,0.003584229390681,0.0039128667346972,0.9951690821256038,0.9948336408222525,1.0,1.0
crnn_augmented_run01_20260823t180807z,crnn,augmented,snr_0db,0.0,0.6140979689366786,0.6472242603789891,0.649581557903167,0.6186322488302588,837.0,0.1278375149342892,0.1387418709465014,0.8276972624798711,0.8168119726781841,1.0,2.0
crnn_baseline_run01_20260822t163312z,crnn,baseline,clean,,0.7837514934289128,0.8231411174833072,0.801366545360327,0.803725365198108,837.0,0.0,0.0,1.0,1.0,1.0,1.0
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_20db,20.0,0.7491039426523297,0.805555997128524,0.7526868721219188,0.7632353024588809,837.0,0.0346475507765831,0.040490062739227,0.9557926829268292,0.949622017056477,2.0,3.0
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_10db,10.0,0.7084826762246117,0.7669477225100062,0.7023389143082593,0.7133682848683024,837.0,0.0752688172043011,0.0903570803298056,0.9039634146341464,0.8875771697120275,3.0,3.0
crnn_baseline_run01_20260822t163312z,crnn,baseline,snr_0db,0.0,0.4994026284348865,0.5788362244060843,0.490635157933788,0.4952174173403567,837.0,0.2843488649940263,0.3085079478577512,0.6371951219512194,0.616152530184601,4.0,4.0
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,clean,,0.7574671445639187,0.7839942503481869,0.7766012422122508,0.7780788402119534,837.0,0.0,0.0,1.0,1.0,2.0,2.0
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_20db,20.0,0.7574671445639187,0.7816545116531255,0.778468392632112,0.7783236402131047,837.0,0.0,-0.0002448000011513,1.0,1.0003146210750118,1.0,1.0
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_10db,10.0,0.7264038231780168,0.7462713683301115,0.7451957286624504,0.7432393026307539,837.0,0.0310633213859019,0.0348395375811995,0.9589905362776028,0.9552236408694664,2.0,2.0
resnet18_augmented_run01_20260824t050842z,resnet18,augmented,snr_0db,0.0,0.6081242532855436,0.6605367551139549,0.6369308259430685,0.6383989397782284,837.0,0.149342891278375,0.139679900433725,0.802839116719243,0.8204810448312984,2.0,1.0
resnet18_baseline_run01_20260823t091022z,resnet18,baseline,clean,,0.7395459976105138,0.7892330861330521,0.7585505762051138,0.761740524803286,837.0,0.0,0.0,1.0,1.0,4.0,3.0
resnet18_baseline_run01_20260823t091022z,resnet18,baseline,snr_20db,20.0,0.6977299880525687,0.7834522497728964,0.6797197455511195,0.7050156541450482,837.0,0.041816009557945,0.0567248706582378,0.9434571890145396,0.9255325549695724,5.0,5.0
resnet18_baseline_run01_20260823t091022z,resnet18,baseline,snr_10db,10.0,0.5937873357228196,0.7317221375116112,0.5599979168874912,0.5773546092203619,837.0,0.1457586618876941,0.1843859155829241,0.802907915993538,0.7579413073361949,6.0,6.0
resnet18_baseline_run01_20260823t091022z,resnet18,baseline,snr_0db,0.0,0.4420549581839904,0.6531121799504153,0.4185361460504775,0.4248778207608851,837.0,0.2974910394265233,0.3368627040424009,0.5977382875605816,0.5577723738284854,6.0,5.0
