experiment_id,architecture,training_condition,condition,snr_db,label,class_name,precision,recall,f1,support
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,0,air_conditioner,0.5106382978723404,0.72,0.5975103734439834,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,1,car_horn,0.9333333333333332,0.8484848484848485,0.8888888888888888,33
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,2,children_playing,0.5806451612903226,0.72,0.6428571428571429,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,3,dog_bark,0.8026315789473685,0.61,0.6931818181818182,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,4,drilling,0.7047619047619048,0.74,0.7219512195121951,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,5,engine_idling,0.8,0.6021505376344086,0.6871165644171779,93
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,6,gun_shot,0.7948717948717948,0.96875,0.8732394366197183,32
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,7,jackhammer,0.7931034482758621,0.9583333333333334,0.8679245283018868,96
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,8,siren,1.0,0.4578313253012048,0.628099173553719,83
cnn_augmented_run01_20260823t110934z,cnn,augmented,clean,,9,street_music,0.8775510204081632,0.86,0.8686868686868687,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,0,air_conditioner,0.4931506849315068,0.72,0.5853658536585366,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,1,car_horn,0.96,0.7272727272727273,0.8275862068965517,33
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,2,children_playing,0.5606060606060606,0.74,0.6379310344827587,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,3,dog_bark,0.835820895522388,0.56,0.6706586826347305,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,4,drilling,0.6909090909090909,0.76,0.7238095238095238,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,5,engine_idling,0.8208955223880597,0.5913978494623656,0.6875,93
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,6,gun_shot,0.6458333333333334,0.96875,0.775,32
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,7,jackhammer,0.8557692307692307,0.9270833333333334,0.89,96
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,8,siren,1.0,0.4457831325301205,0.6166666666666667,83
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_20db,20.0,9,street_music,0.8514851485148515,0.86,0.8557213930348259,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,0,air_conditioner,0.4347826086956521,0.7,0.5363984674329502,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,1,car_horn,0.96,0.7272727272727273,0.8275862068965517,33
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,2,children_playing,0.5128205128205128,0.8,0.625,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,3,dog_bark,0.9,0.54,0.675,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,4,drilling,0.7307692307692307,0.76,0.7450980392156863,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,5,engine_idling,0.819672131147541,0.5376344086021505,0.6493506493506493,93
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,6,gun_shot,0.6222222222222222,0.875,0.7272727272727273,32
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,7,jackhammer,0.8910891089108911,0.9375,0.9137055837563453,96
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,8,siren,1.0,0.3373493975903614,0.5045045045045045,83
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_10db,10.0,9,street_music,0.8854166666666666,0.85,0.8673469387755102,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,0,air_conditioner,0.3333333333333333,0.67,0.4451827242524916,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,1,car_horn,0.7083333333333334,0.5151515151515151,0.5964912280701754,33
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,2,children_playing,0.4260355029585799,0.72,0.5353159851301115,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,3,dog_bark,0.6231884057971014,0.43,0.5088757396449705,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,4,drilling,0.7536231884057971,0.52,0.6153846153846154,100
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,5,engine_idling,0.5714285714285714,0.3010752688172043,0.3943661971830985,93
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,6,gun_shot,0.55,0.6875,0.6111111111111112,32
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,7,jackhammer,0.8172043010752689,0.7916666666666666,0.8042328042328042,96
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,8,siren,0.9411764705882352,0.1927710843373494,0.32,83
cnn_augmented_run01_20260823t110934z,cnn,augmented,snr_0db,0.0,9,street_music,0.6320754716981132,0.67,0.6504854368932039,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,0,air_conditioner,0.5036496350364964,0.69,0.5822784810126582,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,1,car_horn,0.9642857142857144,0.8181818181818182,0.8852459016393442,33
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,2,children_playing,0.5736434108527132,0.74,0.6462882096069869,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,3,dog_bark,0.7142857142857143,0.6,0.6521739130434783,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,4,drilling,0.6837606837606838,0.8,0.7373271889400922,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,5,engine_idling,0.8421052631578947,0.5161290322580645,0.64,93
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,6,gun_shot,0.8648648648648649,1.0,0.927536231884058,32
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,7,jackhammer,0.7699115044247787,0.90625,0.8325358851674641,96
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,8,siren,0.9705882352941176,0.3975903614457831,0.5641025641025641,83
cnn_baseline_run01_20260822t133403z,cnn,baseline,clean,,9,street_music,0.8514851485148515,0.86,0.8557213930348259,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,0,air_conditioner,0.4551724137931034,0.66,0.5387755102040817,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,1,car_horn,1.0,0.4848484848484848,0.6530612244897959,33
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,2,children_playing,0.5194805194805194,0.8,0.6299212598425197,100
cnn_baseline_run01_20260822t133403z,cnn,baseline,snr_20db,20.0,3,dog_bark,0.7469879518072289,0.62,0.6775956284153005,100
