architecture,condition,snr_db,label,class_name,baseline_precision,baseline_recall,baseline_f1,baseline_support,augmented_precision,augmented_recall,augmented_f1,augmented_support,precision_delta,recall_delta,f1_delta
cnn,clean,,0,air_conditioner,0.5036496350364964,0.69,0.5822784810126582,100,0.5106382978723404,0.72,0.5975103734439834,100,0.006988662835843984,0.030000000000000027,0.015231892431325167
cnn,clean,,1,car_horn,0.9642857142857144,0.8181818181818182,0.8852459016393442,33,0.9333333333333332,0.8484848484848485,0.8888888888888888,33,-0.030952380952381175,0.030303030303030276,0.0036429872495445936
cnn,clean,,2,children_playing,0.5736434108527132,0.74,0.6462882096069869,100,0.5806451612903226,0.72,0.6428571428571429,100,0.007001750437609422,-0.020000000000000018,-0.0034310667498439473
cnn,clean,,3,dog_bark,0.7142857142857143,0.6,0.6521739130434783,100,0.8026315789473685,0.61,0.6931818181818182,100,0.08834586466165417,0.010000000000000009,0.04100790513833996
cnn,clean,,4,drilling,0.6837606837606838,0.8,0.7373271889400922,100,0.7047619047619048,0.74,0.7219512195121951,100,0.021001221001221038,-0.06000000000000005,-0.015375969427897096
cnn,clean,,5,engine_idling,0.8421052631578947,0.5161290322580645,0.64,93,0.8,0.6021505376344086,0.6871165644171779,93,-0.042105263157894646,0.08602150537634412,0.04711656441717793
cnn,clean,,6,gun_shot,0.8648648648648649,1.0,0.927536231884058,32,0.7948717948717948,0.96875,0.8732394366197183,32,-0.06999306999307009,-0.03125,-0.054296795264339726
cnn,clean,,7,jackhammer,0.7699115044247787,0.90625,0.8325358851674641,96,0.7931034482758621,0.9583333333333334,0.8679245283018868,96,0.023191943851083363,0.05208333333333337,0.03538864313442269
cnn,clean,,8,siren,0.9705882352941176,0.3975903614457831,0.5641025641025641,83,1.0,0.4578313253012048,0.628099173553719,83,0.02941176470588236,0.060240963855421714,0.06399660945115493
cnn,clean,,9,street_music,0.8514851485148515,0.86,0.8557213930348259,100,0.8775510204081632,0.86,0.8686868686868687,100,0.026065871893311776,0.0,0.012965475652042868
cnn,snr_20db,20.0,0,air_conditioner,0.4551724137931034,0.66,0.5387755102040817,100,0.4931506849315068,0.72,0.5853658536585366,100,0.03797827113840341,0.05999999999999994,0.0465903434544549
cnn,snr_20db,20.0,1,car_horn,1.0,0.4848484848484848,0.6530612244897959,33,0.96,0.7272727272727273,0.8275862068965517,33,-0.040000000000000036,0.2424242424242425,0.17452498240675585
cnn,snr_20db,20.0,2,children_playing,0.5194805194805194,0.8,0.6299212598425197,100,0.5606060606060606,0.74,0.6379310344827587,100,0.04112554112554112,-0.06000000000000005,0.008009774640238998
cnn,snr_20db,20.0,3,dog_bark,0.7469879518072289,0.62,0.6775956284153005,100,0.835820895522388,0.56,0.6706586826347305,100,0.08883294371515915,-0.05999999999999994,-0.006936945780570025
cnn,snr_20db,20.0,4,drilling,0.632,0.79,0.7022222222222222,100,0.6909090909090909,0.76,0.7238095238095238,100,0.05890909090909091,-0.030000000000000027,0.0215873015873016
cnn,snr_20db,20.0,5,engine_idling,0.819672131147541,0.5376344086021505,0.6493506493506493,93,0.8208955223880597,0.5913978494623656,0.6875,93,0.0012233912405187342,0.05376344086021512,0.038149350649350655
cnn,snr_20db,20.0,6,gun_shot,1.0,0.4375,0.6086956521739131,32,0.6458333333333334,0.96875,0.775,32,-0.35416666666666663,0.53125,0.16630434782608694
cnn,snr_20db,20.0,7,jackhammer,0.8191489361702128,0.8020833333333334,0.8105263157894737,96,0.8557692307692307,0.9270833333333334,0.89,96,0.036620294599017944,0.125,0.07947368421052636
cnn,snr_20db,20.0,8,siren,0.9696969696969696,0.3855421686746988,0.5517241379310345,83,1.0,0.4457831325301205,0.6166666666666667,83,0.030303030303030387,0.06024096385542166,0.06494252873563222
